Tempo;U1;U2;U3;V1;V2;V3;A1;A2;A3
s;V;V;V;V;V;V;A;A;A
0;9739,843484;-19464,77143;9724,92795;84,52135744;-9655,322126;9809,449307;-2,58925378;0,970970168;3,236567225
0,000065;10152,50658;-19424,99668;9272,490095;372,8883416;-9779,61824;9645,378437;-2,265597058;0,970970168;3,560223948
0,00013;10555,22599;-19459,79959;8904,573598;616,5087248;-9938,717266;9521,082323;-2,265597058;0,970970168;3,560223948
0,000195;10928,11433;-19464,77143;8536,657101;860,1291081;-10067,98522;9396,786209;-2,265597058;0,647313445;3,236567225
0,00026;11291,05898;-19424,99668;8133,937692;1103,749491;-10187,30949;9237,687184;-1,941940335;0,970970168;3,560223948
0,000325;11668,91917;-19355,39085;7686,471682;1392,116475;-10276,8027;9078,588158;-2,265597058;0,970970168;3,560223948
0,00039;12071,63858;-19310,64425;7239,005672;1675,511615;-10396,12696;8914,517288;-2,58925378;0,970970168;3,560223948
0,000455;12399,78032;-19265,89765;6866,117331;1919,131998;-10480,64832;8785,249329;-2,265597058;0,970970168;3,560223948
0,00052;12727,92206;-19186,34814;6458,426077;2167,724226;-10560,19784;8626,150303;-2,265597058;0,647313445;3,88388067
0,000585;13090,86671;-19116,74231;6025,875601;2411,344609;-10679,5221;8437,22021;-2,265597058;0,647313445;3,88388067
0,00065;13498,55797;-19067,02387;5568,465902;2694,739749;-10803,81822;8263,205651;-2,265597058;0,647313445;3,88388067
0,000715;13911,22107;-18927,81222;5016,591156;3022,88149;-10888,33958;8039,472646;-2,265597058;0,647313445;3,88388067
0,00078;14199,58805;-18788,60057;4589,012524;3266,501873;-10933,08618;7855,514397;-2,265597058;0,647313445;3,88388067
0,000845;14487,95503;-18609,61417;4121,659136;3510,122256;-10977,83278;7631,781392;-1,941940335;0,647313445;4,207537393
0,00091;14850,89969;-18470,40252;3619,502836;3798,48924;-11052,41045;7417,992076;-2,265597058;0,647313445;4,207537393
0,000975;15213,84434;-18346,10641;3132,26207;4081,88438;-11131,95996;7214,14645;-2,265597058;0,323656723;4,207537393
0,00104;15581,76084;-18196,95107;2615,190236;4365,279519;-11216,48132;6980,469756;-2,265597058;0,647313445;4,531194115
0,001105;15840,29675;-17958,30253;2118,005781;4613,871747;-11226,42501;6731,877528;-1,941940335;0,647313445;4,531194115
0,00117;16083,91714;-17714,68215;1630,765014;4857,49213;-11226,42501;6488,257145;-1,941940335;0,323656723;4,531194115
